Ratio H/L normalized pd2_forward	Ratio H/L normalized pd2_reverse	Ratio H/L normalized pd4_forward	Ratio H/L normalized pd4_reverse	Only identified by site	Reverse	Contaminant	Ratio H/L normalized pd2_forward B significant	Ratio H/L normalized pd2_reverse B significant	Ratio H/L normalized pd4_forward B significant	Ratio H/L normalized pd4_reverse B significant	Peptides	Unique peptides	Intensity pd2_forward	Intensity pd2_reverse	Intensity pd4_forward	Intensity pd4_reverse	Ratio H/L normalized pd2_forward Significance B	Ratio H/L normalized pd2_reverse Significance B	Ratio H/L normalized pd4_forward Significance B	Ratio H/L normalized pd4_reverse Significance B	Protein IDs	Majority protein IDs	Protein names	Gene names	Proteins	Color
NaN	NaN	NaN	NaN								1	1	0	0	0	2654200	1	1	1	1	Q8BTW3	Q8BTW3	Exosome complex component MTR3	Exosc6	1	
NaN	0.2735755	NaN	0.811471								3	3	687430	1224700	1502900	1712500	1	0.827374107043223	1	0.743890960762721	Q8BUI3	Q8BUI3	Leucine-rich repeat and WD repeat-containing protein 1	LRWD1	1	
0.2683145	-0.7350193	1.611786	-1.720137								17	7	510250000	225630000	402530000	399410000	0.359886788085946	0.341243295982276	0.759343504642912	0.113129993505039	Q8BX09	Q8BX09	Retinoblastoma-binding protein 5	Rbbp5	1	
NaN	NaN	NaN	NaN								11	1	0	0	0	0	1	1	1	1	Q8BX09-2	Q8BX09-2			1	
3.967076	-6.182118	4.121513	-6.298687					+			49	48	1321800000	1099500000	3562400000	5428200000	0.144533178326308	8.92949128575131E-07	0.095601181950574	0.000114004100987	Q8BX22;Q8BX22-2;Q8BX22-3;A2AUZ7;A2AUZ6	Q8BX22;Q8BX22-2	Sal-like protein 4	Sall4	5	sall
NaN	NaN	NaN	NaN								1	1	2146500	545210	2016900	938460	1	1	1	1	Q8BXJ2-2;Q8BXJ2-4;Q8BXJ2	Q8BXJ2-2;Q8BXJ2-4;Q8BXJ2	Transcriptional-regulating factor 1	Trerf1	3	
NaN	NaN	2.045583	2.454781								6	6	1953100	897240	2391400	7486400	1	1	0.958816583186273	0.624159149256895	Q8C0T5;Q8C0T5-2;Q4VBF8;Q3TAF4	Q8C0T5;Q8C0T5-2;Q4VBF8	Signal-induced proliferation-associated 1-like protein 1	Sipa1l1	4	
1.02432	-0.6759267	0.3242345	0.3906677								31	31	1233300000	584920000	929200000	1053400000	0.614105379084038	0.363493570792939	0.288085590288785	0.592138947827239	Q8C2Q3;E9Q205;Q8C2Q3-2;E9QL13;E9PXP4;B0LM42	Q8C2Q3;E9Q205;Q8C2Q3-2;E9QL13;E9PXP4	RNA-binding protein 14	Rbm14	6	
1.031607	0.4732155	1.255924	0.5156115								4	4	17033000	5881000	18264000	9100300	0.616894281760071	0.941921795830331	0.606351675896228	0.63573297820724	Q91VR2;Q8C2Q8;A2AKU9;A2AKV3;A2AKV2;A2AKV1;A2AKV0	Q91VR2;Q8C2Q8;A2AKU9;A2AKV3;A2AKV2;A2AKV1	ATP synthase subunit gamma, mitochondrial;ATP synthase gamma chain	Atp5c1	7	
2.848838	3.384188	2.954531	3.724541								13	13	10036000	7562500	26331000	32121000	0.515817917160621	0.285136082895424	0.491288573937163	0.262213290678986	Q8C4J7;Q8CE86;F6YAR3	Q8C4J7;Q8CE86	Transducin beta-like protein 3	Tbl3	3	
NaN	1.46472	1.38311	NaN								3	3	1808000	1276500	3148000	1983300	1	0.73464947809808	0.659494917495514	1	Q8C4M7;Q8C4M7-2	Q8C4M7;Q8C4M7-2	Centromere protein U	Mlf1ip	2	
NaN	0.3481191	0.4869717	0.5210507								2	2	5357200	11179000	10475000	22328000	1	0.869850480064114	0.333654372868809	0.637661242347479	Q8C570;Q8CBU3;A2ASC6	Q8C570;Q8CBU3;A2ASC6	mRNA export factor	Rae1	3	
NaN	NaN	NaN	NaN								1	1	0	0	1379200	0	1	1	1	1	Q8C6B9	Q8C6B9	Active regulator of SIRT1	Rps19bp1	1	
-2.310289	2.274262	NaN	NaN								6	5	12419000	1934700	679400	1093600	0.020413729648282	0.517769773217559	1	1	Q8C796;D3YUX3	Q8C796	REST corepressor 2	Rcor2	2	
NaN	2.577948	3.063192	3.730966								6	6	5078300	5922300	17718000	16334000	1	0.445899892899306	0.435771603319797	0.260856528070909	Q8C7V3	Q8C7V3	U3 small nucleolar RNA-associated protein 15 homolog	Utp15	1	
1.863859	-0.412635	1.619976	1.247502								9	9	83799000	50429000	47285000	70216000	0.962186239590339	0.47324287022478	0.763007223317612	0.912324713650032	Q8C854;Q8C854-3;A2ATP6;G8JL68;A2ATP5;Q8C854-2;F6XJA1;Q8C854-1	Q8C854;Q8C854-3;A2ATP6;G8JL68;A2ATP5;Q8C854-2;F6XJA1;Q8C854-1	Myelin expression factor 2	Myef2	8	
-0.0196383	NaN	NaN	NaN								2	2	2729500	0	0	0	0.283602262022077	1	1	1	Q8C8M1;D3Z0C1;D3Z1Z9;D3YVY1	Q8C8M1;D3Z0C1;D3Z1Z9;D3YVY1	Protein FAM60A	Fam60a	4	
3.080027	-4.124591	NaN	NaN								7	7	51461000	21835000	0	0	0.413856900810696	0.000632573113047	1	1	Q8CCE9;Q8CCE9-3;Q8CCE9-5;Q8CCE9-2;Q8CCE9-4	Q8CCE9;Q8CCE9-3;Q8CCE9-5;Q8CCE9-2;Q8CCE9-4	Transcription factor E4F1	E4f1	5	
1.777072	NaN	NaN	NaN								3	3	6009500	1669400	0	0	0.924606469531392	1	1	1	Q8CDC7	Q8CDC7	Zinc finger and BTB domain-containing protein 9	Zbtb9	1	
NaN	0.07806332	0.4593267	0.007913023								3	3	2629800	1933700	4752500	6556600	1	0.718634720682268	0.325601961849124	0.46791710016422	Q8CEC0;Q8CEC0-2;Q8CEC0-3	Q8CEC0;Q8CEC0-2;Q8CEC0-3	Nuclear pore complex protein Nup88	Nup88	3	
NaN	-0.9955921	0.01578305	-0.1794329								3	3	2307600	897050	6146500	6984700	1	0.253766148044318	0.213706327230547	0.412822774563311	Q8CFE2;D6RIJ8	Q8CFE2	UPF0609 protein C4orf27 homolog		2	
0.5926365	NaN	NaN	NaN								3	3	2655300	594580	0	0	0.45984007414646	1	1	1	Q8CFI7	Q8CFI7	DNA-directed RNA polymerase II subunit RPB2	Polr2b	1	
1.684101	2.517855	2.439517	2.387831								19	19	72012000	29797000	201230000	133190000	0.884536481458481	0.459653823459786	0.797553900632606	0.647899104285602	Q8CGC6;F6SB18	Q8CGC6	RNA-binding protein 28	Rbm28	2	
-0.1907832	-0.0998191	-0.26557	-0.08759541								26	26	155500000	81679000	168790000	256890000	0.243862835019427	0.624364738802813	0.158943058268554	0.439335384933812	Q8CGN4;Q8CGN4-2;Q8CGN4-3;Q8CGN4-4;F7BEN2;F6XPR4	Q8CGN4;Q8CGN4-2;Q8CGN4-3;Q8CGN4-4	BCL-6 corepressor	Bcor	6	
NaN	NaN	NaN	NaN								43	1	9667100	3473600	7094500	6636700	1	1	1	1	Q8CGY8	Q8CGY8	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt	1	
-0.2567005	0.4196467	-0.3289604	0.8544745								43	1	901500000	339060000	485950000	572270000	0.229653105844985	0.910966158147341	0.148217886921429	0.760104828341453	Q8CGY8-2	Q8CGY8-2			1	
1.493135	-0.8070989	NaN	NaN								5	5	51363000	15352000	0	3671000	0.803260702032581	0.315310407238893	1	1	Q8CH25;Q8CH25-2	Q8CH25;Q8CH25-2	SAFB-like transcription modulator	Sltm	2	
NaN	NaN	0.009777201	-0.171986								3	3	0	333490	16651000	4981000	1	1	0.212410425638779	0.414936664627725	Q8CHT3	Q8CHT3	Integrator complex subunit 5	Ints5	1	
NaN	NaN	NaN	NaN								2	2	0	0	4067500	626180	1	1	1	1	Q8CHW1;D3YTK5	Q8CHW1;D3YTK5	THAP domain-containing protein 1	Thap1	2	
-1.655126	1.189983	NaN	-2.169161								7	7	35254000	5583800	4373300	17141000	0.049743074297292	0.814616837610729	1	0.070710392022633	Q8CHZ9;B9EJ57	Q8CHZ9;B9EJ57	Transcription termination factor, mitochondrial	Mterf;Gm9897	2	
3.539407	3.451409	3.806221	3.475993								17	17	26729000	30704000	106970000	114950000	0.250310375100246	0.273773291400826	0.160841041566845	0.318464065947021	Q8CI11;Q8CI11-2;Q5SPX1;Q5SPX1-2;REV__Q8BMK4	Q8CI11;Q8CI11-2	Guanine nucleotide-binding protein-like 3	Gnl3	5	
NaN	NaN	NaN	NaN								3	3	0	785880	3977400	4645700	1	1	1	1	Q8CIL4	Q8CIL4	Uncharacterized protein C1orf131 homolog		1	
0.8833862	-0.147298	0.6035017	0.1248574								2	2	3336200	1247800	3411800	3865500	0.561303157739552	0.60013286796238	0.368994419299824	0.504273946626448	Q8CIM8;Q8CIM8-2;Q8CIM8-3	Q8CIM8;Q8CIM8-2;Q8CIM8-3	Integrator complex subunit 4	Ints4	3	
-1.176316	0.2476845	-0.4942107	0.2769134								6	6	30571000	1265700	3745900	7699800	0.088823695164349	0.812731688837051	0.122859438098478	0.553685606888111	Q8CIW5;Q3V303;Q8CIW5-2	Q8CIW5	Twinkle protein, mitochondrial	Peo1	3	
1.195852	-0.8740052	2.081646	-1.305931								54	54	751690000	213320000	470290000	414210000	0.681154840367843	0.2924288080298	0.975697111855094	0.168041653783038	Q8CJF7;F6SJR1;F6S6E4;F6QTR3	Q8CJF7	Protein ELYS	Ahctf1	4	
0.4286784	1.408875	1.331361	1.240436								4	4	5994300	2793200	8070300	8542800	0.407487378731587	0.75070406785129	0.637644430226241	0.909541670665487	Q8JZM0	Q8JZM0	Dimethyladenosine transferase 1, mitochondrial	Tfb1m	1	
0.5211512	0.5270703	0.6581886	0.3504972								7	7	19372000	30117000	40461000	89205000	0.436564960757501	0.973131375430315	0.386353566778921	0.578420292892922	Q8JZU2;F6VVY4	Q8JZU2		Slc25a1	2	
1.902267	-2.057512	NaN	-2.173905								3	3	15632000	8525000	6822900	6076000	0.978848951518076	0.055661256745533	1	0.070343917039346	Q8K072	Q8K072	Receptor expression-enhancing protein 4	Reep4	1	
NaN	NaN	NaN	NaN								1	1	1696200	0	1399200	2138200	1	1	1	1	Q8K194	Q8K194	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	Snrnp27	1	
2.975557	3.166105	1.951215	2.158596								39	39	131420000	100090000	456130000	485290000	0.458380331936231	0.324170742170806	0.914751701864367	0.731803625627494	Q8K224;A2BH46;E9Q498	Q8K224	N-acetyltransferase 10	Nat10	3	
NaN	NaN	NaN	NaN								1	1	517020	197110	458530	455920	1	1	1	1	Q8K2B3	Q8K2B3	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	Sdha	1	
NaN	NaN	NaN	NaN								1	1	959830	279030	1533500	1227500	1	1	1	1	Q8K2C9	Q8K2C9	3-hydroxyacyl-CoA dehydratase 3	ptplad1	1	
2.838649	-4.079356	NaN	NaN								6	6	16322000	7387900	0	0	0.520593121422574	0.000713479939218	1	1	Q8K2W9	Q8K2W9	Uncharacterized protein C14orf93 homolog		1	
3.559002	3.163869	2.995539	2.919226								15	15	37680000	32869000	96630000	53407000	0.244514096767748	0.324588125245943	0.469902332929125	0.471005208155532	Q8K301	Q8K301	Probable ATP-dependent RNA helicase DDX52	Ddx52	1	
NaN	NaN	NaN	NaN								1	1	558990	217050	260350	0	1	1	1	1	Q8K327	Q8K327	Chromosome alignment-maintaining phosphoprotein 1	Champ1	1	
3.544485	3.555325	3.231064	3.948788								22	22	199060000	59511000	146710000	209990000	0.248799088079614	0.256823883006303	0.35752937743319	0.217706189549469	Q8K363;F6ZX28	Q8K363	ATP-dependent RNA helicase DDX18	Ddx18	2	
0.7315308	1.090176	NaN	NaN								5	5	14550000	11252000	6668700	1496900	0.506988121560398	0.84420223829455	1	1	Q8K3Y3	Q8K3Y3	Protein lin-28 homolog A	Lin28a	1	
NaN	NaN	NaN	NaN								1	1	0	278350	1571900	1367300	1	1	1	1	Q8K3Z9	Q8K3Z9	Nuclear envelope pore membrane protein POM 121	Pom121	1	
0.1247251	0.1031283	-0.4932762	0.8256229								12	12	193810000	95007000	212340000	162700000	0.320363597387071	0.732311734859899	0.122992649825246	0.749214585384524	Q8K409	Q8K409	DNA polymerase beta	Polb	1	
1.49462	2.029877	2.00137	2.075806								3	3	730530	1435200	1803900	3092900	0.803885969011363	0.57967726880016	0.938147581867528	0.76297840927194	Q8K4F6;E9QAY1	Q8K4F6	Putative methyltransferase NSUN5	Nsun5	2	
-0.7612376	0.01349801	-1.014121	1.251325								9	9	28971000	6142700	10502000	27747000	0.14000228461926	0.683825727403353	0.064580952284816	0.91383097123592	Q8K4Q6;Q3U296;Q8K4Q6-2	Q8K4Q6;Q3U296;Q8K4Q6-2	Endonuclease 8-like 1	Neil1	3	
3.231417	-1.428682	NaN	0.6422856								7	7	11865000	5400500	0	2526700	0.354086489401141	0.145316736941352	1	0.681257426557523	Q8K4Z5	Q8K4Z5	Splicing factor 3A subunit 1	Sf3a1	1	
1.180021	-1.44493	1.849038	NaN								2	2	3791800	1030300	2369700	1585200	0.674849479745368	0.142078989760884	0.867338615058272	1	Q8K5B8	Q8K5B8	Homeobox protein Hox-C12	Hoxc12	1	
-0.1258562	0.09612688	-0.005927245	0.3711686								9	9	81191000	31283000	61283000	126660000	0.258451906401176	0.728482524207689	0.209048676085393	0.585461137238868	Q8R023	Q8R023	Polycomb group RING finger protein 1	Pcgf1	1	
NaN	NaN	NaN	NaN								1	1	9102100	3529500	10345000	5291700	1	1	1	1	Q8R070	Q8R070		Slc37a1	1	
-1.352989	NaN	-3.175403	2.061914								11	11	19636000	1255300	143320000	233400000	0.072213823736172	1	0.001826100077555	0.768248959588077	Q8R0A2;Q8R0A2-2	Q8R0A2;Q8R0A2-2	Zinc finger and BTB domain-containing protein 44	Zbtb44	2	
NaN	NaN	1.571677	NaN								2	2	581340	208190	1775800	220650	1	1	0.741480650907253	1	Q8R0G9	Q8R0G9	Nuclear pore complex protein Nup133	Nup133	1	
NaN	NaN	NaN	2.413486								2	2	1487600	622640	2051400	4329800	1	1	1	0.638758107733643	Q8R0K4	Q8R0K4	Coiled-coil domain-containing protein 137	Ccdc137	1	
2.095958	-0.813322	2.359128	-1.657809								8	8	17597000	6027200	19557000	15483000	0.916440682399926	0.313133826715203	0.849997021176546	0.120346905626995	Q8R0X7;D6REF7;D3YZT4;D3Z1Z3;D3YY13	Q8R0X7;D6REF7	Sphingosine-1-phosphate lyase 1	Sgpl1	5	
1.553066	NaN	NaN	NaN								2	2	6416100	1002800	1873300	0	0.828582547351226	1	1	1	Q8R149;Q8R149-2	Q8R149;Q8R149-2	BUD13 homolog	Bud13	2	
0.4611094	0.9080443	NaN	0.03984026								3	3	38266000	21608000	18712000	32601000	0.417551217411323	0.898732227853292	1	0.477696452104066	Q8R1F0	Q8R1F0	Leydig cell tumor 10 kDa protein homolog	D8Ertd738e	1	
NaN	NaN	2.299743	3.690752								8	8	5896300	1501200	12224000	22485000	1	1	0.889182283194692	0.269429032478826	Q8R2M2	Q8R2M2	Deoxynucleotidyltransferase terminal-interacting protein 2	Dnttip2	1	
3.001388	3.631454	2.419323	3.131804								9	9	22246000	9534000	15577000	28821000	0.447128267199939	0.244878627564961	0.810651817692822	0.408509669653142	Q8R2N2	Q8R2N2	Cirhin	Cirh1a	1	
2.910541	NaN	NaN	NaN								3	3	9820100	1632000	1781800	0	0.487392535937157	1	1	1	Q8R2U2	Q8R2U2		BC027231	1	
-0.5258911	0.4990678	0.1819295	-0.04220423								19	19	310740000	122760000	243110000	237730000	0.177746734009612	0.956895364838427	0.251842616045626	0.452792317060612	Q8R323	Q8R323	Replication factor C subunit 3	Rfc3	1	
-0.5160166	0.4501687	-0.5679172	1.009132								11	11	221590000	65787000	92925000	91702000	0.179481745236913	0.928590270054036	0.112703324024649	0.819244391979546	Q8R326;Q8R326-2;F7D909	Q8R326;Q8R326-2	Paraspeckle component 1	Pspc1	3	
4.248535	3.203123	1.712156	2.708938								7	7	8130000	5856000	16549000	16600000	0.096348893193326	0.317310508638883	0.804590212755826	0.537691197972414	Q8R3C6;Q8R3C6-2	Q8R3C6	Probable RNA-binding protein 19	Rbm19	2	
1.50711	0.5069066	NaN	NaN								2	2	5498300	2413800	0	3567900	0.80914788463974	0.961438816353424	1	1	Q8R3H7	Q8R3H7	Heparan sulfate 2-O-sulfotransferase 1	Hs2st1	1	
NaN	NaN	2.813073	2.746678								4	4	3030300	1058900	2877800	6855900	1	1	0.568899105309178	0.525383234899389	Q8R3N1	Q8R3N1	Nucleolar protein 14	Nop14	1	
NaN	NaN	NaN	NaN								1	1	2642400	895180	1132200	0	1	1	1	1	Q8R3N6	Q8R3N6	THO complex subunit 1	Thoc1	1	
NaN	NaN	NaN	NaN								3	1	0	0	0	0	1	1	1	1	Q8R4U6	Q8R4U6	DNA topoisomerase I, mitochondrial	Top1mt	1	
3.595504	3.616711	3.426801	3.449033								16	16	56615000	22570000	66108000	85520000	0.233969699690059	0.247160943856734	0.278287738801055	0.325008724595622	Q8R5K4;Q8R5K4-2	Q8R5K4;Q8R5K4-2	Nucleolar protein 6	Nol6	2	
NaN	NaN	1.474306	-2.909417								17	17	0	0	228490000	464780000	1	1	0.698708449551252	0.029625984460972	Q8VBU8;Q8VBU8-4;Q8VBU8-2;Q8VBU8-3;G3UWN8;G3UWM0;G3UYF0;F6V6B6;G3UYT4;G3UZ43	Q8VBU8;Q8VBU8-4;Q8VBU8-2;Q8VBU8-3;G3UWN8;G3UWM0	Protein BANP	Banp	10	
NaN	NaN	NaN	NaN								1	1	491560	0	0	0	1	1	1	1	Q8VC51	Q8VC51	Telomerase Cajal body protein 1	Wrap53	1	
0.6959938	0.5895717	1.5674	0.2193389								5	4	35716000	11676000	11819000	12739000	0.494688219833542	0.995085700681798	0.739583716154179	0.534700607894888	Q8VC52;Q9CWY6	Q8VC52;Q9CWY6	RNA-binding protein with multiple splicing 2	Rbpms2	2	
NaN	NaN	NaN	NaN								3	3	0	1114700	2123800	9642200	1	1	1	1	Q8VCG3	Q8VCG3	WD repeat-containing protein 74	Wdr74	1	
3.059026	NaN	3.517024	3.874699								5	5	5904800	1138300	7138000	13571000	0.422595428928358	1	0.246126686392395	0.231766787557587	Q8VCY6	Q8VCY6	U3 small nucleolar RNA-associated protein 6 homolog	Utp6	1	
3.757877	4.276646	3.829444	3.280585								104	83	1092600000	713140000	1472300000	2050400000	0.190971544243886	0.159065154887238	0.155108550782596	0.367864872221517	Q8VDD5;F7AUR3;E9Q3T2;F2Z494;G3UW82;Q5SX40;A2AQP0;P13541;Q5SX39;B1AR69;Q02566;P13542;Q91Z83;E9Q264;Q5SX41;E9PZ09;B8JJH5;Q3UUB1;E9PXR2	Q8VDD5	Myosin-9	Myh9	19	
-0.7410831	1.775135	-0.1974014	1.512328								10	10	31376000	16662000	29109000	50489000	0.142971115643562	0.647680539230725	0.17112124850414	0.982877948327761	Q8VDF2;Q3UI74;E9Q5Y5	Q8VDF2;Q3UI74	E3 ubiquitin-protein ligase UHRF1	Uhrf1	3	
0.5758932	-0.4780849	0.7356088	0.1584662								4	4	27413000	6257700	3249300	5916900	0.454327101644893	0.4443785994155	0.411764918774538	0.514991630337409	Q8VDM6;Q8VDM6-2;Q8VDM6-3	Q8VDM6;Q8VDM6-2;Q8VDM6-3	Heterogeneous nuclear ribonucleoprotein U-like protein 1	Hnrnpul1	3	
NaN	NaN	2.082873	-0.4391285								4	4	0	344690	5762800	2125800	1	1	0.976271406023867	0.343160017429471	Q8VDN2;E9QAV3;Q8VCE0;Q9WV27;Q6PIE5;Q6PIC6;D3YYN7;Q9Z1W8;E9QNX7;Q64436;Q91WH7;D3YVX6	Q8VDN2;E9QAV3;Q8VCE0;Q9WV27;Q6PIE5;Q6PIC6;D3YYN7	Sodium/potassium-transporting ATPase subunit alpha-1;Sodium/potassium-transporting ATPase subunit alpha-4;Sodium/potassium-transporting ATPase subunit alpha-2;Sodium/potassium-transporting ATPase subunit alpha-3	Atp1a1;Atp1a3;Atp1a4;Atp1a2	12	
NaN	NaN	NaN	NaN								1	1	0	1296600	0	6301500	1	1	1	1	Q8VDP6	Q8VDP6	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	Cdipt	1	
1.475552	-0.1661141	NaN	NaN								2	2	4435500	2233500	1076800	1495700	0.795869229658822	0.590648796557894	1	1	Q9Z1N5;Q8VDW0;Q3UAF1;D6RHT5;Q8VDW0-2	Q9Z1N5;Q8VDW0;Q3UAF1;D6RHT5;Q8VDW0-2	Spliceosome RNA helicase Ddx39b;ATP-dependent RNA helicase DDX39A	Ddx39b;Ddx39a;Ddx39	5	
NaN	NaN	NaN	NaN								1	1	604930	232690	872130	701180	1	1	1	1	Q8VE10	Q8VE10	N-alpha-acetyltransferase 40	Naa40	1	
1.79048	2.1141	2.368768	3.545845								6	6	27197000	10003000	8505500	23117000	0.930403320219105	0.557953868168316	0.843667582868971	0.30191128826053	Q8VEJ4;F6QAD9	Q8VEJ4	Notchless protein homolog 1	Nle1	2	
1.362386	0.7360419	1.143394	0.4155423								9	9	43795000	16811000	145120000	78956000	0.7487614787856	0.950677015430155	0.560997603917909	0.600708075299052	Q8VEM8;G5E902	Q8VEM8;G5E902	Phosphate carrier protein, mitochondrial	Slc25a3	2	
-0.2778488	0.566669	1.492674	-0.7158412								18	6	212890000	85123000	305050000	361090000	0.225221515466686	0.996108279181685	0.70670870056997	0.277745905454709	Q8VH51;Q8VH51-2;E9Q8F0;B7ZD61;F7AA45;B7ZD63;E9Q999;E9PZF9;B7ZD64;D6RJ85;D6RCZ8	Q8VH51;Q8VH51-2;E9Q8F0;B7ZD61;F7AA45	RNA-binding protein 39	Rbm39	11	
2.854494	-1.049158	3.797843	2.642678								12	8	247080000	108250000	65079000	69064000	0.513176843742278	0.237915557428402	0.162947977093843	0.559644261844379	Q8VHM5;A2AW41;A2AW40	Q8VHM5;A2AW41		Hnrnpr	3	
2.656542	-1.732932	1.87519	-1.820464								19	18	34618000	32100000	86173000	238820000	0.609607624942802	0.093428680645532	0.879435468716059	0.102234157463772	Q8VHR5;Q8VHR5-2	Q8VHR5;Q8VHR5-2	Transcriptional repressor p66-beta	Gatad2b	2	nurd
NaN	NaN	NaN	NaN								2	2	1071500	544040	877740	1576800	1	1	1	1	Q8VI33;A2AP82;Q6NZA9	Q8VI33;A2AP82;Q6NZA9	Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B	Taf9;Taf9b	3	
3.129992	2.838488	2.438293	2.924461								9	9	10224000	4194000	20087000	18232000	0.393500277236427	0.389049575924536	0.798346091356823	0.46940533830029	Q8VI84	Q8VI84	Nucleolar complex protein 3 homolog	Noc3l	1	
-0.6089142	1.581062	2.094743	NaN								8	8	51078000	19034000	5537100	4115500	0.163650030846205	0.701580542892427	0.981830280516601	1	Q8VIG1;E9QLW1;Q8VIG1-3;Q8VIG1-2	Q8VIG1	RE1-silencing transcription factor	Rest	4	
NaN	NaN	NaN	NaN								2	1	0	0	0	561520	1	1	1	1	Q8VIJ6	Q8VIJ6	Splicing factor, proline- and glutamine-rich	Sfpq	1	
2.454439	-0.8422577	NaN	1.992333								5	5	24352000	9497700	4216000	8521400	0.7155860376089	0.303143504361956	1	0.794804652087991	Q91VC3;D3YU49;E9PV04;A2AFK7	Q91VC3;D3YU49;E9PV04	Eukaryotic initiation factor 4A-III	Eif4a3;Gm8994;Gm5576	4	
1.054432	2.819791	3.122689	3.065934								7	7	28553000	24907000	54287000	72812000	0.625665067498284	0.392976218252421	0.406973867348575	0.427326545484327	Q91VE6;Q91VE6-2;E0CXU3	Q91VE6;Q91VE6-2	MKI67 FHA domain-interacting nucleolar phosphoprotein	Mki67ip	3	
2.974419	-1.192151	3.232323	2.572138								18	15	408670000	294980000	83160000	122920000	0.458879556902953	0.199063615050295	0.356977893939109	0.583483541245158	Q91VM5;Q9WV02;A2AFI3;Q9WV02-2;A2AFI4	Q91VM5;Q9WV02;A2AFI3;Q9WV02-2	RNA binding motif protein, X-linked-like-1;RNA binding motif protein, X-linked-like-1, N-terminally processed;RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed	Rbmxl1;Rbmx	5	
3.103447	-1.434949	3.548067	-2.755649								16	16	13256000	1287800	27225000	33931000	0.404238435306714	0.144061354439104	0.235688370973586	0.035845943090233	Q91VR5	Q91VR5	ATP-dependent RNA helicase DDX1	Ddx1	1	
-0.4685312	-0.02221455	-0.1714659	0.3155663								7	7	156260000	74179000	101710000	159990000	0.188001376350255	0.664851250607108	0.175933671701352	0.566613822208354	Q91WA4	Q91WA4	CXXC-type zinc finger protein 5	Cxxc5	1	
NaN	NaN	NaN	NaN								1	1	650660	0	0	0	1	1	1	1	Q91WD7	Q91WD7	Kinesin-like protein KIF18A	Kif18a	1	
NaN	NaN	NaN	NaN								1	1	1350000	0	0	1213100	1	1	1	1	Q91WE3	Q91WE3	Ribonuclease P protein subunit p25	Rpp25	1	
NaN	NaN	NaN	NaN								3	1	0	244970	0	0	1	1	1	1	Q91WM1;Q91WM1-2	Q91WM1;Q91WM1-2	Spermatid perinuclear RNA-binding protein	Strbp	2	
3.129811	2.330013	3.688852	3.427874								8	8	6128800	11036000	22169000	20743000	0.393572987277059	0.504141639540818	0.192282790971791	0.330206010139908	Q91WM3;F6VEP4	Q91WM3;F6VEP4	U3 small nucleolar RNA-interacting protein 2	Rrp9	2	
1.236401	-0.2342616	1.762774	-0.1290869								9	9	217750000	78172000	107300000	138800000	0.69740633690436	0.556890898690392	0.827670503716726	0.427237981086225	Q91WN1	Q91WN1	DnaJ homolog subfamily C member 9	Dnajc9	1	
NaN	NaN	NaN	NaN								1	1	4570400	0	0	0	1	1	1	1	Q91WV0	Q91WV0	Protein Dr1	Dr1	1	
NaN	NaN	NaN	NaN								1	1	0	812800	1592300	2151800	1	1	1	1	Q91XB0	Q91XB0	Three prime repair exonuclease 1	Trex1	1	
2.929905	3.223361	3.34227	2.435122								23	23	272720000	144170000	296240000	362140000	0.478649499706424	0.313600540005942	0.310912208097553	0.631091326452764	Q91YK2;F7AGW8;D6RDD0	Q91YK2	Ribosomal RNA processing protein 1 homolog B	Rrp1b	3	
NaN	NaN	NaN	NaN								1	1	572410	0	0	676280	1	1	1	1	Q91YR1	Q91YR1	Twinfilin-1	Twf1	1	
NaN	NaN	NaN	NaN								3	3	7751700	1882600	1991600	0	1	1	1	1	Q91YR7;Q91YR7-2	Q91YR7	Pre-mRNA-processing factor 6	Prpf6	2	
NaN	NaN	NaN	NaN								2	2	0	361210	1338500	2916400	1	1	1	1	Q91YU6	Q91YU6	Leucine zipper putative tumor suppressor 2	Lzts2	1	
2.873813	3.153611	3.141433	2.594883								12	12	21553000	17094000	52081000	61275000	0.504209683117721	0.326507799212195	0.39814223773484	0.575745265749755	Q91YU8	Q91YU8	Suppressor of SWI4 1 homolog	Ppan	1	
NaN	NaN	NaN	NaN								1	1	0	2694200	0	0	1	1	1	1	Q91Z49;Q91Z49-2	Q91Z49;Q91Z49-2	UAP56-interacting factor	Fyttd1	2	
0.4252445	0.5983652	0.3754009	0.6475447								21	21	96352000	42700000	78137000	122950000	0.406430317459566	0.992417762564256	0.301937086197664	0.683174265286343	Q91ZA3;D3YWM4;D3YZC0	Q91ZA3	Propionyl-CoA carboxylase alpha chain, mitochondrial	Pcca	3	
-0.853006	0.9136458	0.533962	-0.541681								17	17	176330000	81038000	303990000	181690000	0.127080683554807	0.897046621722217	0.34763376437894	0.317851437054095	Q91ZJ0;F8WIN9;F6VIY4;D6RCJ5	Q91ZJ0;F8WIN9;F6VIY4	Crossover junction endonuclease MUS81	Mus81	4	
